ZIP,Number of returns,Amount
91101,47976,3130
91101,211,60
91101,486,210
91101,1477,410
91101,3166,560
91101,12419,1260
91101,30217,630
91103,63841,3210
91103,120,90
91103,541,330
91103,1386,460
91103,2281,470
91103,8688,1010
91103,50825,850
91104,61207,5380
91104,220,120
91104,872,410
91104,2146,670
91104,3978,840
91104,19640,2200
91104,34351,1140
91105,128539,3550
91105,258,70
91105,504,110
91105,873,220
91105,1822,330
91105,11237,1150
91105,113845,1670
91106,115167,4050
91106,219,110
91106,645,280
91106,1584,480
91106,3558,640
91106,13946,1390
91106,95215,1150
91107,108896,6450
91107,333,140
91107,667,340
91107,2290,680
91107,4881,890
91107,22436,2450
91107,78289,1950
91108,219466,3360
91108,494,80
91108,520,110
91108,918,170
91108,1522,240
91108,8212,900
91108,207800,1860
91201,24460,2440
91201,66,50
91201,589,260
91201,1188,400
91201,2011,420
91201,7921,940
91201,12685,370
91202,55744,3290
91202,115,70
91202,777,270
91202,1364,430
91202,2584,540
91202,10401,1220
91202,40503,760
91203,17469,1660
91203,44,50
91203,386,210
91203,1056,340
91203,1547,310
91203,4827,560
91203,9609,190
91204,9230,1130
91204,50,40
91204,281,200
91204,780,250
91204,1167,220
91204,2810,340
91204,4142,80
91205,20594,2740
91205,92,110
91205,635,450
91205,1432,510
91205,2585,530
91205,7653,920
91205,8197,220
91206,53133,4420
91206,385,120
91206,676,380
91206,1879,610
91206,3467,710
91206,14206,1660
91206,32520,940
91207,44833,2010
91207,111,50
91207,259,110
91207,573,170
91207,1302,230
91207,6042,690
91207,36546,760
91208,57751,3520
91208,91,60
91208,403,190
91208,932,280
91208,2023,400
91208,12247,1410
91208,42055,1180
91210,3292,90
91210,449,50
91210,2843,40
91214,68924,5770
91214,78,80
91214,759,320
91214,1710,510
91214,3342,770
91214,21525,2550
91214,41510,1540
91301,120801,5780
91301,641,140
91301,792,270
91301,1444,430
91301,3339,650
91301,19431,2140
91301,95154,2150
91302,287008,5980
91302,749,150
91302,796,210
91302,1473,350
91302,2782,490
91302,17192,1710
91302,264016,3070
91303,13104,2020
91303,84,80
91303,461,330
91303,1322,460
91303,1765,380
91303,5316,630
91303,4156,140
91304,52428,5910
91304,215,150
91304,873,580
91304,2407,860
91304,4376,990
91304,18272,2310
91304,26285,1020
91306,30259,5220
91306,217,160
91306,1048,690
91306,2724,1010
91306,4536,1070
91306,14776,1960
91306,6958,330
91307,68287,5050
91307,241,100
91307,515,250
91307,1609,540
91307,3191,690
91307,18411,2220
91307,44320,1250
91311,94269,6660
91311,374,160
91311,1081,570
91311,2809,940
91311,5155,1130
91311,21597,2610
91311,63253,1250
91316,137743,5210
91316,514,150
91316,916,400
91316,2396,590
91316,3795,680
91316,15703,1700
91316,114419,1690
91320,136980,9220
91320,328,150
91320,691,390
91320,2158,720
91320,5405,1140
91320,32881,3970
91320,95517,2850
91321,40348,4280
91321,117,100
91321,871,440
91321,1949,680
91321,3655,800
91321,12751,1610
91321,21005,650
91324,48541,3710
91324,216,100
91324,521,310
91324,1588,550
91324,3419,650
91324,12192,1470
91324,30605,630
91325,49485,4390
91325,170,80
91325,649,390
91325,1819,640
91325,3405,690
91325,14020,1740
91325,29422,850
91326,100903,7550
91326,364,120
91326,707,360
91326,2148,680
91326,4379,910
91326,26985,3240
91326,66320,2240
91331,24652,6630
91331,247,290
91331,2338,1770
91331,4650,1900
91331,5303,1360
91331,8104,1220
91331,4010,90
91335,39582,7080
91335,440,250
91335,1627,1130
91335,4220,1550
91335,6191,1430
91335,17603,2300
91335,9501,420
91340,9905,2510
91340,63,80
91340,865,580
91340,1796,700
91340,2302,570
91340,3486,520
91340,1393,60
91342,52840,10080
91342,376,340
91342,2214,1570
91342,6261,2280
91342,8766,2110
91342,23712,3310
91342,11511,470
91343,38864,6130
91343,160,160
91343,1279,850
91343,3131,1150
91343,5123,1220
91343,17529,2310
91343,11642,440
91344,82689,8780
91344,368,180
91344,1280,710
91344,3707,1260
91344,6530,1480
91344,29956,3770
91344,40848,1380
91345,10720,2260
91345,73,80
91345,489,330
91345,1396,520
91345,2066,520
91345,5081,730
91345,1615,80
91350,73650,8350
91350,196,110
91350,839,430
91350,2776,960
91350,5987,1360
91350,32657,4230
91350,31195,1260
91351,29290,4960
91351,153,110
91351,744,510
91351,2385,880
91351,4174,1010
91351,15821,2140
91351,6013,310
91352,21524,3700
91352,208,180
91352,1058,760
91352,2072,820
91352,3060,710
91352,7149,1000
91352,7977,230
91354,77714,7550
91354,154,100
91354,672,320
91354,1996,660
91354,4747,1080
91354,30849,3780
91354,39296,1610
91355,78275,6800
91355,188,110
91355,669,360
91355,2424,790
91355,5105,1110
91355,24952,3060
91355,44937,1370
91356,120997,5250
91356,433,140
91356,976,390
91356,2224,560
91356,3340,680
91356,14705,1610
91356,99319,1870
91360,90086,7780
91360,310,140
91360,741,420
91360,2401,800
91360,5013,1120
91360,28214,3440
91360,53407,1860
91361,223112,4990
91361,327,80
91361,509,160
91361,1423,330
91361,2401,460
91361,15058,1660
91361,203394,2300
91362,253308,8110
91362,750,170
91362,890,380
91362,2353,650
91362,4579,910
91362,25204,2870
91362,219532,3130
91364,176674,5950
91364,244,120
91364,784,320
91364,2123,520
91364,3750,680
91364,21302,2300
91364,148471,2010
91367,151834,8200
91367,620,210
91367,1188,500
91367,3283,1000
91367,6371,1280
91367,27471,3120
91367,112901,2090
91377,60224,3310
91377,49,30
91377,240,110
91377,909,260
91377,1825,370
91377,11774,1270
91377,45427,1270
91381,82472,4270
91381,152,70
91381,342,160
91381,1070,320
91381,2144,490
91381,14391,1720
91381,64373,1510
91384,35977,4480
91384,65,60
91384,482,270
91384,1564,560
91384,3291,790
91384,16887,2190
91384,13688,610
91387,69103,6980
91387,221,150
91387,921,510
91387,3012,1040
91387,4975,1150
91387,23575,2960
91387,36399,1170
91390,43145,4260
91390,72,60
91390,371,190
91390,1193,390
91390,2686,610
91390,16925,2090
91390,21898,920
91401,54380,4440
91401,324,160
91401,878,500
91401,2080,700
91401,3556,670
91401,13433,1540
91401,34109,870
91402,16208,4130
91402,162,190
91402,1550,1010
91402,2589,1080
91402,3161,810
91402,6756,940
91402,1990,100
91403,172028,5640
91403,525,160
91403,870,350
91403,2171,590
91403,4018,710
91403,17504,1820
91403,146940,2010
91405,18669,3490
91405,196,170
91405,1031,720
91405,1964,730
91405,2859,620
91405,8641,1070
91405,3978,180
91406,41136,5540
91406,323,210
91406,1219,780
91406,3411,1160
91406,4405,980
91406,15818,1930
91406,15960,480
91411,21754,2290
91411,104,80
91411,468,300
91411,1117,360
91411,1941,390
91411,6769,770
91411,11355,390
91423,150259,6550
91423,632,170
91423,1275,500
91423,2744,680
91423,5250,860
91423,20897,2180
91423,119461,2160
91436,457549,5330
91436,480,120
91436,730,150
91436,1145,230
91436,2090,340
91436,14572,1340
91436,438532,3150
91501,32521,2940
91501,177,70
91501,500,230
91501,1302,410
91501,2411,500
91501,9995,1150
91501,18136,580
91502,11726,1050
91502,29,40
91502,225,140
91502,605,200
91502,961,190
91502,3483,380
91502,6423,100
91504,44204,4160
91504,184,90
91504,552,330
91504,1814,560
91504,3278,690
91504,14268,1680
91504,24108,810
91505,75833,6090
91505,269,150
91505,910,460
91505,2662,820
91505,5011,1010
91505,23184,2610
91505,43797,1040
91506,36867,3600
91506,263,90
91506,493,280
91506,1474,460
91506,2797,570
91506,13623,1540
91506,18217,660
91601,31830,4040
91601,271,210
91601,1347,640
91601,2486,730
91601,3964,740
91601,12016,1280
91601,11746,440
91602,71125,4060
91602,302,150
91602,739,400
91602,1884,520
91602,3806,670
91602,13585,1400
91602,50809,920
91604,162142,7040
91604,579,230
91604,1002,430
91604,2576,660
91604,4842,870
91604,22760,2310
91604,130383,2540
91605,19194,3830
91605,213,190
91605,1114,820
91605,2374,910
91605,2987,720
91605,7542,1000
91605,4964,190
91606,19027,3500
91606,115,160
91606,962,660
91606,2119,770
91606,2825,640
91606,8386,1060
91606,4620,210
91607,65654,4660
91607,349,220
91607,955,500
91607,2101,620
91607,3686,700
91607,15243,1600
91607,43320,1020
91701,53802,6940
91701,151,110
91701,842,470
91701,3183,980
91701,5392,1260
91701,24849,3290
91701,19385,830
91702,32674,5930
91702,120,180
91702,1342,980
91702,3693,1370
91702,5346,1260
91702,13279,1760
91702,8894,380
91706,20569,5420
91706,196,260
91706,1823,1410
91706,3543,1510
91706,4324,1110
91706,7175,1030
91706,3508,100
91708,12290,1710
91708,23,30
91708,243,140
91708,707,270
91708,1313,310
91708,6028,780
91708,3976,180
91709,163400,14000
91709,551,260
91709,1607,930
91709,4798,1670
91709,9520,2220
91709,50827,6400
91709,96097,2520
91710,66857,10130
91710,466,250
91710,1807,1140
91710,4811,1880
91710,8445,2040
91710,28882,3960
91710,22446,860
91711,100943,6580
91711,315,110
91711,593,320
91711,1937,630
91711,4088,910
91711,23231,2830
91711,70779,1780
91722,21555,4630
91722,105,140
91722,917,660
91722,2762,1060
91722,4138,1040
91722,10799,1570
