Zip Code,Total times 1k,num returns
90254,22072000,1840
90254,53893000,1400
90254,92252000,1440
90254,106197000,1200
90254,343409000,2400
90254,1517459000,2240
90255,964528000,30650
90255,222722000,15430
90255,361288000,10260
90255,191245000,3170
90255,96821000,1130
90255,77165000,620
90255,15287000,40
90260,693316000,15600
90260,86230000,6330
90260,166342000,4570
90260,138162000,2250
90260,97736000,1120
90260,155745000,1160
90260,49101000,170
90262,942492000,28000
90262,193752000,13260
90262,329523000,9300
90262,202250000,3330
90262,114685000,1330
90262,92287000,740
90262,9995000,40
90265,1841564000,7030
90265,20502000,1840
90265,38103000,990
90265,42615000,670
90265,48916000,550
90265,178606000,1210
90265,1512822000,1770
90266,5269999000,16960
90266,34893000,3330
90266,68150000,1760
90266,103683000,1620
90266,116338000,1300
90266,491555000,3320
90266,4455380000,5630
90270,342714000,10820
90270,78130000,5250
90270,135026000,3830
90270,71715000,1180
90270,31132000,370
90270,26711000,190
90272,5396427000,10530
90272,23021000,2250
90272,41122000,1060
90272,52948000,820
90272,64220000,720
90272,264372000,1770
90272,4950744000,3910
90274,4117414000,12800
90274,26966000,2610
90274,49986000,1300
90274,68410000,1070
90274,80080000,900
90274,378087000,2540
90274,3513885000,4380
90275,3364660000,19390
90275,45002000,4150
90275,86616000,2280
90275,119978000,1870
90275,150932000,1700
90275,700356000,4750
90275,2261776000,4640
90277,2491254000,19010
90277,49855000,4030
90277,109272000,2820
90277,161678000,2530
90277,194308000,2200
90277,633812000,4400
90277,1342329000,3030
90278,2213591000,20170
90278,54104000,4410
90278,119417000,3150
90278,168559000,2670
90278,195507000,2220
90278,686694000,4770
90278,989310000,2950
90280,1497038000,40760
90280,261265000,18430
90280,479470000,13410
90280,315754000,5160
90280,188697000,2190
90280,185102000,1470
90280,66750000,100
90290,487577000,2970
90290,10265000,850
90290,17551000,460
90290,20707000,320
90290,23386000,260
90290,86550000,590
90290,329118000,490
90291,2150784000,14130
90291,47402000,3600
90291,102592000,2690
90291,129769000,2040
90291,125708000,1420
90291,369619000,2590
90291,1375694000,1790
90292,2161734000,13290
90292,32303000,2570
90292,70769000,1810
90292,110471000,1720
90292,126769000,1420
90292,489675000,3410
90292,1331747000,2360
90293,856412000,7170
90293,17116000,1310
90293,43235000,1110
90293,74248000,1160
90293,89329000,1020
90293,241073000,1720
90293,391411000,850
90301,599773000,16690
90301,105618000,7600
90301,200577000,5550
90301,131589000,2160
90301,70583000,820
90301,62028000,490
90301,29378000,70
90302,572045000,13850
90302,80211000,5840
90302,158769000,4350
90302,120578000,1960
90302,72074000,830
90302,98381000,760
90302,42032000,110
90303,430709000,11650
90303,75458000,5400
90303,130393000,3620
90303,87068000,1430
90303,56080000,650
90303,64169000,490
90303,17541000,60
90304,381891000,11500
90304,80252000,5590
90304,139421000,3910
90304,74504000,1230
90304,37782000,440
90304,37510000,290
90304,12422000,40
90305,447822000,8010
90305,32249000,2480
90305,76931000,2080
90305,85873000,1380
90305,76280000,880
90305,140623000,1050
90305,35866000,140
90401,1053216000,4500
90401,14571000,1190
90401,30310000,790
90401,39690000,620
90401,40271000,460
90401,115436000,820
90401,812938000,620
90402,2728901000,5420
90402,12657000,1180
90402,22924000,590
90402,27789000,430
90402,32151000,360
90402,123944000,840
90402,2509436000,2020
90403,2105328000,14350
90403,38077000,3080
90403,85059000,2180
90403,129497000,2020
90403,142386000,1610
90403,442147000,3090
90403,1268162000,2370
90404,1190038000,11370
90404,43564000,3340
90404,93217000,2440
90404,111867000,1780
90404,98186000,1110
90404,250651000,1780
90404,592553000,920
90405,2477361000,15250
90405,43610000,3590
90405,100458000,2620
90405,131102000,2070
90405,144432000,1630
90405,425872000,2980
90405,1631887000,2360
90501,1280127000,20350
90501,96778000,7210
90501,182212000,4990
90501,171737000,2760
90501,150886000,1730
90501,389441000,2800
90501,289073000,860
90502,542378000,8840
90502,38869000,2920
90502,79817000,2150
90502,88102000,1410
90502,77125000,880
90502,171848000,1280
90502,86617000,200
90503,2014239000,21250
90503,65073000,5390
90503,138879000,3670
90503,188373000,2980
90503,206776000,2350
90503,686724000,4830
90503,728414000,2030
90504,1112650000,16810
90504,68739000,5330
90504,137905000,3720
90504,144545000,2300
90504,151503000,1720
90504,430399000,3100
90504,179559000,640
90505,1763199000,17840
90505,53925000,4500
90505,115097000,3050
90505,155345000,2450
90505,167701000,1900
90505,563554000,3960
90505,707577000,1980
90601,971299000,15320
90601,63578000,4780
90601,140174000,3790
90601,148226000,2390
90601,141470000,1610
90601,295757000,2170
90601,182094000,580
90602,574838000,10850
90602,56969000,4080
90602,115342000,3160
90602,89772000,1460
90602,68970000,800
90602,148609000,1080
90602,95176000,270
90603,793978000,9820
90603,35214000,2760
90603,67867000,1820
90603,82025000,1310
90603,102683000,1170
90603,306674000,2200
90603,199515000,560
90604,1000719000,18280
90604,85115000,6230
90604,171082000,4680
90604,167750000,2700
90604,158429000,1810
90604,348071000,2600
90604,70272000,260
90605,1080483000,18560
90605,94225000,6830
90605,180599000,4990
90605,160064000,2590
90605,143678000,1660
90605,269226000,2030
90605,232691000,460
90606,679465000,14840
90606,77050000,5550
90606,157101000,4330
90606,137458000,2230
90606,113079000,1310
90606,172278000,1330
90606,22499000,90
90620,1346431000,22330
90620,97898000,7480
90620,198801000,5420
90620,202323000,3250
90620,199653000,2280
90620,461179000,3410
90620,186577000,490
90621,854984000,16270
90621,89732000,6510
90621,168709000,4650
90621,135579000,2200
90621,103439000,1180
90621,182572000,1340
90621,174953000,390
90623,602272000,7660
90623,28438000,2300
90623,58953000,1570
90623,63652000,1010
90623,66475000,760
90623,219604000,1550
90623,165150000,470
90630,1840833000,23810
90630,86672000,7000
90630,178341000,4810
90630,201055000,3200
90630,218229000,2480
90630,687175000,4880
90630,469361000,1440
90631,2129524000,31530
90631,148079000,10910
90631,285870000,7850
90631,269005000,4320
90631,246309000,2810
90631,585368000,4260
90631,594893000,1380
90638,1499538000,22170
90638,90098000,7020
90638,174167000,4700
90638,196789000,3150
90638,208841000,2380
90638,566115000,4100
90638,263528000,820
90640,1365981000,29080
90640,160961000,11710
90640,304140000,8380
90640,250634000,4060
90640,191392000,2200
90640,312155000,2330
90640,146699000,400
90650,2097892000,47010
90650,249913000,18070
90650,496825000,13690
90650,437161000,7080
90650,354310000,4090
90650,492156000,3830
90650,67527000,250
90660,1272727000,29170
90660,160197000,11510
90660,317648000,8770
90660,261356000,4250
90660,196942000,2280
90660,282890000,2190
90660,53694000,170
90670,473744000,8140
90670,37691000,2800
90670,82861000,2270
90670,76136000,1230
90670,63552000,730
90670,125447000,960
90670,88057000,150
90680,590814000,13870
90680,80334000,5870
90680,146892000,4070
90680,115192000,1870
90680,90486000,1030
90680,122748000,940
90680,35162000,90
90701,373111000,7570
90701,41460000,3050
90701,78004000,2120
90701,62732000,1020
90701,50588000,580
90701,91115000,680
90701,49212000,120
90703,2069719000,24500
90703,84532000,6820
90703,176159000,4660
90703,209731000,3330
90703,228711000,2590
90703,742195000,5260
90703,628391000,1840
90706,1579208000,34800
90706,187175000,13700
90706,368325000,10150
90706,304620000,4960
90706,238061000,2750
90706,387874000,2920
90706,93153000,320
90710,652983000,12060
90710,61326000,4600
90710,110593000,3050
90710,99268000,1610
90710,86350000,990
90710,211461000,1550
90710,83985000,260
90712,1128120000,15730
90712,57076000,4440
90712,117840000,3160
90712,142603000,2280
90712,166397000,1900
90712,465247000,3410
90712,178957000,540
90713,1055014000,14120
90713,47641000,3760
90713,96958000,2620
90713,120576000,1930
90713,153647000,1740
90713,483741000,3510
90713,152451000,560
90715,489906000,9690
90715,46168000,3460
90715,96900000,2630
90715,89158000,1440
90715,78295000,900
90715,152373000,1160
90715,27012000,100
90716,196905000,5970
90716,40893000,2880
90716,69572000,1960
90716,43030000,710
90716,21451000,250
90716,21959000,170
90717,631850000,10440
90717,45964000,3470
90717,91721000,2490
90717,96970000,1550
90717,89937000,1030
90717,213888000,1560
90717,93370000,340
90720,1243113000,10930
90720,34565000,2890
90720,67811000,1810
90720,81343000,1290
90720,96029000,1080
90720,335225000,2320
90720,628140000,1540
90723,865534000,23870
90723,155214000,10940
90723,273590000,7620
90723,190274000,3110
90723,111529000,1300
90723,102152000,810
90723,32775000,90
90731,1490215000,26210
90731,134415000,10030
90731,239121000,6560
90731,212820000,3440
90731,188257000,2150
90731,450794000,3310
90731,264808000,720
90732,925819000,10390
90732,31736000,2500
90732,64820000,1730
90732,98229000,1550
90732,117258000,1330
90732,343958000,2430
90732,269818000,850
90740,1329939000,13770
90740,47474000,4010
90740,89609000,2400
90740,121237000,1940
90740,118792000,1350
90740,373169000,2630
90740,579658000,1440
90744,841249000,22070
90744,145118000,10180
90744,242566000,6850
90744,152480000,2500
90744,96919000,1130
90744,171368000,1290
90744,32798000,120
