"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
90241,910,2575
90241,970,4117
90241,1770,13197
90241,440,13149
,,
90242,"4,540","22,379"
90242,160,159
90242,720,978
90242,1040,2724
90242,1000,4111
90242,1450,10241
90242,170,4166
,,
90245,"4,030","66,651"
90245,70,214
90245,170,383
90245,370,1274
90245,570,3068
90245,1650,16225
90245,1200,45487
,,
90247,"4,530","21,274"
90247,180,172
90247,860,1321
90247,1140,3081
90247,970,4084
90247,1210,9306
90247,170,3310
,,
90248,"1,500","13,010"
90248,40,53
90248,210,449
90248,300,760
90248,300,1473
90248,500,3893
90248,150,6382
,,
90249,"3,420","17,577"
90249,110,129
90249,530,825
90249,800,2128
90249,700,2993
90249,1120,8403
90249,160,3099
,,
90250,"9,110","60,867"
90250,300,362
90250,1730,2311
90250,1950,5097
90250,1620,6966
90250,2740,22103
90250,770,24028
,,
90254,"5,560","167,206"
90254,100,385
90254,210,595
90254,400,1780
90254,710,4421
90254,1970,20546
90254,2170,139479
,,
90255,"3,580","10,511"
90255,230,146
90255,1160,1446
90255,1070,2574
90255,620,2508
90255,470,3025
90255,30,812
,,
90260,"3,140","16,691"
90260,100,104
90260,600,829
90260,740,1996
90260,630,2917
90260,920,7376
90260,150,3469
,,
90262,"4,300","12,204"
90262,250,215
90262,1350,1752
90262,1270,3048
90262,830,3099
90262,570,3553
90262,30,537
,,
90265,"3,340","175,244"
90265,100,352
90265,140,518
90265,220,1135
90265,290,1650
90265,910,9111
90265,1680,162478
,,
90266,"9,690","509,103"
90266,150,578
90266,270,1381
90266,410,2107
90266,690,4292
90266,2690,28425
90266,5480,472320
,,
90270,"1,240","3,192"
90270,100,58
90270,440,522
90270,390,931
90270,190,710
90270,120,971
90270,**,**
,,
90272,"6,180","583,816"
90272,150,683
90272,170,945
90272,280,1401
90272,380,2724
90272,1410,15431
90272,3790,562632
,,
90274,"7,400","406,294"
90274,110,581
90274,180,638
90274,370,1466
90274,470,2556
90274,2030,19855
90274,4240,381198
,,
90275,"10,160","249,100"
90275,130,571
90275,310,1099
90275,590,1910
90275,910,4401
90275,3730,33518
90275,4490,207601
,,
90277,"8,950","156,910"
90277,160,535
90277,390,1127
90277,790,2954
90277,1170,6568
90277,3530,34188
90277,2910,111538
,,
90278,"9,390","123,951"
90278,130,277
90278,400,1022
90278,810,2719
90278,1220,6330
90278,3940,37118
90278,2890,76485
,,
90280,"6,770","21,634"
90280,340,234
90280,1890,2352
90280,1990,4725
90280,1330,5074
90280,1140,7161
90280,80,2088
,,
90290,"1,300","38,392"
90290,50,172
90290,60,143
90290,100,458
90290,140,707
90290,480,4523
90290,470,32389
,,
90291,"5,680","178,258"
90291,150,716
90291,320,966
90291,570,2539
90291,810,4912
90291,2120,22745
90291,1710,146380
,,
90292,"6,780","177,428"
90292,140,539
90292,320,951
90292,550,2351
90292,780,4899
90292,2730,29919
90292,2260,138769
,,
90293,"3,490","54,723"
90293,50,149
90293,190,539
90293,400,1886
90293,620,3491
90293,1410,13845
90293,820,34813
,,
90301,"2,410","9,102"
90301,110,81
90301,750,1060
90301,730,1860
90301,420,1732
90301,340,2415
90301,60,1954
,,
90302,"2,620","16,316"
90302,120,143
90302,580,796
90302,750,2130
90302,470,2076
90302,600,4552
90302,100,6619
,,
90303,"1,980","7,312"
90303,110,119
90303,490,622
90303,530,1219
90303,400,1619
90303,390,2725
90303,60,1008
,,
90304,"1,320","4,771"
90304,100,83
90304,410,498
90304,360,863
90304,210,883
90304,200,1507
90304,40,937
,,
90305,"2,920","14,354"
90305,100,88
90305,440,730
90305,700,1933
90305,640,2773
90305,910,6727
90305,130,2103
,,
90401,"1,750","115,914"
90401,40,81
90401,100,322
90401,140,603
90401,240,1857
90401,660,7605
90401,570,105446
,,
90402,"3,090","321,593"
90402,90,261
90402,90,574
90402,120,589
90402,190,1802
90402,640,7030
90402,1960,311337
,,
90403,"6,430","171,479"
90403,130,521
90403,290,1080
90403,540,2377
90403,820,5110
90403,2370,26082
90403,2280,136309
,,
90404,"3,590","79,904"
90404,100,199
90404,270,588
90404,400,1619
90404,580,3404
90404,1370,14340
90404,870,59754
,,
90405,"6,630","198,446"
90405,150,552
90405,330,917
90405,560,2218
90405,910,5531
90405,2410,25219
90405,2270,164009
,,
90501,"5,390","52,357"
90501,150,215
90501,530,816
90501,830,2417
90501,880,4225
90501,2180,18063
90501,820,26621
,,
90502,"2,800","17,283"
90502,70,83
90502,370,509
90502,600,1654
90502,540,2406
90502,1040,8085
90502,180,4546
,,
90503,"8,070","111,082"
90503,110,197
90503,420,930
90503,850,2652
90503,1120,5568
90503,3640,31709
90503,1930,70026
,,
90504,"5,270","39,995"
90504,100,135
90504,420,639
90504,720,2129
90504,930,4218
90504,2480,20111
90504,620,12763
,,
90505,"6,880","88,324"
90505,110,357
90505,350,656
90505,630,2011
90505,880,4123
90505,2990,25574
90505,1920,55603
,,
90601,"4,840","34,378"
90601,90,104
90601,490,715
90601,890,2548
90601,1010,4554
90601,1800,13774
90601,560,12683
,,
90602,"2,540","18,278"
90602,80,43
90602,370,560
90602,500,1400
90602,450,1954
90602,880,6693
90602,260,7628
,,
90603,"3,960","35,480"
90603,60,49
90603,240,431
90603,510,1454
90603,750,3516
90603,1860,14010
90603,540,16020
,,
