,0,1
193,36.8524545,-121.4016021
194,34.045415,-118.3457953
195,33.961124,-116.5016784
196,39.0657324,-123.4450093
197,37.8043637,-122.2711137
198,40.8029067,-124.1663888
199,38.5815719,-121.4943996
200,32.7691531,-117.0260082
201,38.5815719,-121.4943996
202,36.4134882,-119.1051233
203,36.8524545,-121.4016021
204,37.8715926,-122.272747
205,34.1477829,-119.1951074
206,37.8043637,-122.2711137
207,34.6441185,-120.4690208
208,32.7682784,-117.0389084
209,34.0522342,-118.2436849
210,34.2767691,-118.4104684
211,33.7805388,-116.4668036
212,37.8043637,-122.2711137
213,37.8043637,-122.2711137
214,35.125801,-117.9859038
215,34.2279298,-118.3812562
216,33.6680772,-117.3272615
217,37.8043637,-122.2711137
218,35.2827524,-120.6596156
219,37.8043637,-122.2711137
220,33.9459891,-116.5034607
221,33.8302961,-116.5452921
222,36.2127439,-121.1260287
223,34.165357,-118.6089752
224,33.961124,-116.5016784
225,40.6189919,-122.3710881
226,37.8043637,-122.2711137
227,41.42264979999999,-122.3861269
228,33.9608646,-118.1857858
229,34.5827699,-117.409215
230,40.8020712,-124.1636729
231,34.4291444,-119.716776
232,36.9757868,-122.0197459
233,34.0686206,-118.0275667
234,33.961124,-116.5016784
235,38.5815719,-121.4943996
236,37.8043637,-122.2711137
237,37.8043637,-122.2711137
238,37.7766776,-122.4149097
239,34.0211224,-118.3964665
240,36.9741171,-122.0307963
241,34.2506356,-118.61481
242,34.4208305,-119.6981901
243,40.1201443,-123.8233635
244,34.2279298,-118.3812562
245,34.5827699,-117.409215
246,33.961124,-116.5016784
247,34.4206182,-119.7041071
248,34.0522342,-118.2436849
249,40.1000828,-123.7949199
250,33.8124706,-116.4956778
251,39.1501709,-123.2077831
252,34.0522342,-118.2436849
253,40.1000828,-123.7949199
254,36.6777372,-121.6555013
255,33.6412156,-117.9188221
256,37.8043637,-122.2711137
257,40.8665166,-124.0828396
258,33.6803003,-116.173894
259,34.0522342,-118.2436849
260,33.7700504,-118.1937395
261,33.7700504,-118.1937395
262,34.8480597,-114.6141315
263,37.9735346,-122.5310874
264,33.7222445,-116.3744556
265,34.187044,-118.3812562
266,37.7749295,-122.4194155
267,40.8020712,-124.1636729
268,38.5449065,-121.7405167
269,34.5827699,-117.409215
270,33.7700504,-118.1937395
271,38.5815719,-121.4943996
272,34.6611646,-120.4657809
273,37.8043637,-122.2711137
274,34.187044,-118.3812562
275,34.2279298,-118.3812562
276,34.1489719,-118.451357
277,34.6442248,-120.4670949
278,37.7749295,-122.4194155
279,37.8043637,-122.2711137
280,33.6412156,-117.9188221
281,37.8043637,-122.2711137
282,37.6315361,-122.4927163
283,34.1763916,-119.2095567
284,34.187044,-118.3812562
285,34.1898566,-118.451357
286,32.7684401,-117.0393652
287,34.0211224,-118.3964665
288,38.5401108,-121.7391083
